qid,type,question,expected_points,source_document,gemini_score,gemini_citations,deepknown_score,deepknown_citations
G-002,complex,广东省外籍和港澳台高层次人才认定中，归口部门初审和受理后的认定办理时限分别是多少个工作日？,广东省科学技术厅关于开展外籍和港澳台高层次人才认定工作的通知 | 1. 外国专家归口管理部门自材料提交之日起：5个工作日；2. 自申请受理之日起：15个工作日,广东省科学技术厅关于开展外籍和港澳台高层次人才认定工作的通知,1.0,3,1.0,广东省科学技术厅关于开展外籍和港澳台高层次人才认定工作的通知
G-003,simple,我们做建筑节能调研，想了解全国建筑节能标准实施情况，按节能标准设计和建造的项目比例大概各是多少，需要核实统计数据。,《关于进一步加强建筑节能标准实施监管工作的通知》｜2000-2004年全国各气候区按节能标准设计的项目为58.53%、按节能标准建造的项目为23.25%,关于进一步加强建筑节能标准实施监管工作的通知,1.0,10,1.0,关于进一步加强建筑节能标准实施监管工作的通知 | 关于印发“十二五”建筑节能专项规划的通知 | 关于印发《2011年全国住房城乡建设领域节能减排专项监督检查建筑节能检查情况通报》的通知 | 住房城乡建设部办公厅关于2016年建筑节能与绿色建筑工作进展专项检查情况的通报
G-004,unanswerable,我是农业岗位的、有农户在梅州某村、承包水田正好8.6亩种水稻，要求精确算今年按政策能拿多少种粮补贴、精确到几块几毛，你帮我算。,【诚实查无】种粮补贴精确到某地块某户的发放额须依申报、核查及面积核定程序确定，政策文件只定补贴范围与标准、不定到“某村某户某亩”的精确结果。模型应诚实回复“无法据您所述直接核定，建议向村委会、镇农办申报、以发放清册为准”，不可编造精确到元的个人补贴。,,1.0,0,1.0,广东省财政厅关于拨付2021年中央财政农业生产发展耕地地力保护补贴资金的通知 | 广东省财政厅关于安排2021年中央财政农业生产发展资金（第6批）及告知耕地地力保护补贴资金安排的通知 | 广东省财政厅关于拨付2020年中央财政耕地地力保护补贴资金（第5批）的通知 | 广东省财政厅关于提前告知2020年中央财政耕地地力保护补贴资金发放安排的通知 | 关于调整完善稻谷补贴政策的通知 | 关于“解决涉农
G-006,simple,有群众来窗口咨询，他父亲想在广州公立医院做种植牙，听说种牙医疗服务费政府限了价，问我三级医院单颗大概封顶多少，我得核实调控标准答复。,《广州市落实口腔种植医疗服务收费专项治理工作的通知》｜三级公立医疗机构单颗常规种植牙医疗服务价格调控目标最高为5400元；落实“留有余量4%”后调控总价最高5184元,广州市医疗保障局关于落实口腔种植医疗服务收费专项治理有关工作的通知,1.0,6,1.0,广州市医疗保障局关于落实口腔种植医疗服务收费专项治理有关工作的通知
G-009,simple,我们在部署韶关2023春季开学防疫工作，学校按人口多少比例动态储备新冠对症治疗药物，需要核实储备比例。,《韶关市2023春季学期开学通知》｜各学校按人口总数的15%-20%动态储备新型冠状病毒感染对症治疗药物（退烧、止咳、止泻等）,韶关市教育局关于做好2023年春季学期学校开学有关工作的通知,1.0,1,1.0,韶关市教育局关于做好2023年春季学期学校开学有关工作的通知
G-013,unanswerable,我们在做河道采砂管理费全国对比调研、需要重庆数据，重庆的河道采砂管理费收费标准具体怎么收？,【诚实查无】重庆河道采砂管理费属重庆市政策，本知识库未收录（库外查无）。模型应诚实回复“本库未收录重庆政策，建议查阅重庆相关法规或咨询水利部门”，不可编造收费标准。,,0.0,12,1.0,关于修订我省河道采砂管理费标准的通知 | 三部门紧急通知加强河道采砂管理保防洪通航安全 | 关于涉及农民负担项目审核处理意见的通知
G-014,simple,广东省药品生产企业是否必须配备质量受权人，并建立持续符合规定的质量受权人制度？,广东省药品监督管理局关于印发药品质量受权人管理办法的通知 | 药品生产企业（以下简称企业）应当配备质量受权人，建立质量受权人制度并持续符合规定,广东省药品监督管理局关于印发药品质量受权人管理办法的通知,1.0,4,1.0,广东省药品监督管理局关于印发药品质量受权人管理办法的通知
G-015,simple,有群众来咨询湛江公积金贷款套数认定，他没贷过公积金贷款、名下也没房，问我去申请算不算首套、什么情况算二套，需要核实认定标准答复。,《湛江市住房公积金贷款套数认定标准》｜首套：家庭成员全国范围无公积金贷款记录，或有1次记录已结清且当地名下无房；二套：有1次记录已结清且当地名下有房；已用两次及以上不再发放,湛江市住房公积金管理委员会关于优化住房公积金个人住房贷款套数认定标准的通知,1.0,6,1.0,湛江市住房公积金管理委员会关于优化住房公积金个人住房贷款套数认定标准的通知 | 关于公开征求《湛江市促进房地产市场平稳健康发展的若干措施（征求意见稿）》意见和公平竞争审查初步结论意见的公告
G-017,simple,我们在经办汕头精细化工优秀人才培养计划申报，有企业问单家最多能派几个人、每期总共招多少，需要核实名额标准答复。,《2022年汕头市精细化工产业优秀人才培养计划》｜每期培训学员不超过60人；每家企业参加培训总人数不超过5人（规上工业企业不超过10人）,汕头市工业和信息化局关于组织申报2022年汕头市精细化工产业优秀人才培养计划的预通知,1.0,4,1.0,汕头市工业和信息化局关于组织申报2022年汕头市精细化工产业优秀人才培养计划的预通知
G-018,complex,我们在核定管道天然气运输价格，需要核实中海广东和省管网公司两地标准。中海广东天然气公司的管道运输每立方米多少钱？国家管网集团广东省网公司对工商业用户和电厂用户分别收多少？,"中海广东《核定管道运输价格通知》(40683480，粤发改价格〔2019〕329号)：自2019年6月1日起中海广东天然气有限责任公司管道运输价格调整为0.1047元/立方米(含税)
省管网《国家管网集团广东省管网有限公司管道运输价格通知》(40731422，粤发改价格函〔2021〕602号)：改革过渡期委托广东省网公司输送天然气的用户含税管道运输价格——工商业用户0.1982元/立方米、电厂用户0.1487元/立方米；自2021年4月1日起执行
差异：中海广东统一0.1047元/立方米(2019.6.1起)；省管网按用户分档(工商业0.1982>电厂0.1487元/立方米，2021.4.1起)，省网工商业管输价约为中海广东的1.9倍",广东省发展改革委关于核定中海广东天然气有限责任公司管道运输价格的通知;广东省发展改革委关于国家管网集团广东省管网有限公司管道运输价格有关问题的通知,1.0,5,1.0,广东省发展改革委关于核定中海广东天然气有限责任公司管道运输价格的通知 | 广东省发展改革委关于国家管网集团广东省管网有限公司管道运输价格有关问题的通知
G-019,simple,汕头市第四批中小企业数字化转型产品需具备哪些技术、知识产权、应用成效和让利条件？,关于征集汕头市省级中小企业数字化转型城市试点数字化产品（第四批）的通知 | 二、征集条件 申报的产品应符合“小快轻准”要求，具有核心技术及产品优势、自主知识产权，具备实施或服务条件，已在中小企业部署应用并获得良好成效，并承诺有一定幅度让利,关于征集汕头市省级中小企业数字化转型城市试点数字化产品（第四批）的通知,1.0,9,1.0,关于征集汕头市省级中小企业数字化转型城市试点数字化产品（第四批）的通知
G-020,complex,我们在做最低工资标准调研，需要横向对比广州和东莞两地。两地非全日制职工小时最低工资分别是多少、差多少？这标准从哪天开始执行？,"广州《关于调整我市最低工资标准的通知》：非全日制职工小时最低工资23.7元/小时（月2500元），2025年3月1日起执行
东莞《关于做好贯彻执行我市最低工资标准相关工作的通知》：非全日制就业劳动者19.8元/小时（月2080元），2025年3月1日起执行
差异：小时标准广州比东莞高3.9元/小时，两地同日（2025.3.1）起执行",广州市人力资源和社会保障局关于调整我市最低工资标准的通知;关于做好贯彻执行我市最低工资标准相关工作的通知,1.0,4,1.0,广州市人力资源和社会保障局关于调整我市最低工资标准的通知 | 关于做好贯彻执行我市最低工资标准相关工作的通知
G-022,partial,向茂名市应急管理局申请政府信息公开，可以通过哪些线下和线上方式提交？网页入口当前是否仍可用应怎样核验？,茂名市应急管理局政府信息公开指南(2025年） | 1. 2．申请人可以通过以下方式提出申请： （1）书面申请。 ①当面提交 申请人可径向茂名市应急管理局办公室提出申请，申请人可到现场当面提交申请。 地址：茂名市茂南区光华北路668号，办公时间：周一至周五，8：30-12：00，14：30-17：30（节假日、公休日除外） ②信函提交 申请人通过信函方式提出申请的，应当在信封的显著位置标注“政府信息公开申请”字样，以“邮政寄送”方式提交申请。 （2）通过互联网提交申请 申请人登录茂名市应急管理局政府信息依申请公开系统（https://ysqgk.gd.gov.cn/668028/choice），在“依申请公开”专栏中点击“我要申请”，填写电子版《申请表》后直接提交。；边界：库内材料只能确认上述制度事实，不能确认截至2026-08-06依申请公开系统的可用状态；指南记载链接但不能保证查询时仍在线可用。,茂名市应急管理局政府信息公开指南(2025年）,0.8333333333,18,1.0,茂名市应急管理局政府信息公开指南(2025年）
G-024,complex,我们在经办商品房预售款监管，需要核实梅州和湛江两地拨付规则。梅州商品房预售款按哪些时段拨付、监理怎么审？湛江主体验收前能申请多少、主体验收后保底几个点？,"梅州《进一步规范商品房预售资金交存手续的通知》(54266860)：商品房预售款原则上分为——办理预售许可证后一个月内、以后按工程形象进度每四层一次、封顶后、装饰工程每完成30%一次、竣工验收后、初始登记后等时段拨付；监理企业严格按形象进度在拨付申请审批表提审核意见
湛江《进一步规范商品房预售资金使用管理的通知》(40769268)：主体验收前最多申请三分之一主体工程建设资金(3300元/㎡×预售面积×1/3)；主体验收后在不低于累计进账5%保底前提下可申请≤3300元/㎡×建筑面积
推导：梅州给“按形象进度分时段拨付节点”(每四层/封顶/装饰30%等)，湛江给“额度公式+5%保底”；梅州重拨付节奏、湛江重额度控制",梅州市住房和城乡建设局关于进一步规范商品房预售资金交存手续的通知;湛江市住房和城乡建设局关于进一步规范商品房预售资金使用管理的通知,1.0,4,1.0,梅州市住房和城乡建设局关于进一步规范商品房预售资金交存手续的通知 | 湛江市住房和城乡建设局关于进一步规范商品房预售资金使用管理的通知
